;Abstarct;Introdution;Related Work;Methods;Results;Evaluation;Discussion;Summary/Conclusions;Acknowledgements;References;;;;;;
2002 papers;;;;;;;;;;;;;;;;
Parameter Estimation for Probabilistic Finite-State Transducers;Abstract;Background and Motivation;;- ;-;-;Discussion ;-;-;References;;;;;;
Sequential Conditional Generalized Iterative Scaling;Abstract;Introduction;Previous Work;Algorithms;Experimental Results;Experimental Results ;Discussion ;-;Acknolwledgements;References;;;;;;
Generation as Dependency Parsing;Abstract;Introduction;Comparison to Other Approaches?;Generation as Dependency Parsing;Generation as Dependency Parsing;Generation as Dependency Parsing;;Conclusion;Acknolwledgements;References;;;;;;
 Machine-learned contexts for linguistic operations in German sentence realization;Abstract;Introduction;-;Data and feature extraction;-;-;-;Conclusion and future research;Acknolwledgements;References;;;;;;
Performance Issues and Error Analysis in an Open-Domain Question Answering System;Abstract;Introduction;-;Serial system architecture;-;Error analysis for the baseline serial system;-;Conclusions;-;References;;;;;;
Learning Surface Text Patterns for a Question Answering System;Abstract;Introduction;-;Learning patterns;Experiments;Experiments;Shortcoming and Extensions;Conclusion;Acknolwledgements;References;;;;;;
OT Syntax: Decidability of Generation-based Optimization;Abstract;Introduction;-;??;-;Proof;-;Conclusion;-;References;;;;;;
Comprehension and Compilation in Optimality Theory∗;Abstract;Introduction;Previous Work on Comprehension;???;-;-;-;Conclusion;-;References;;;;;;
Generalized Encoding of Description Spaces and its Application to Typed Feature Structures;Abstract;Motivation;???;???;???;???;;Conclusion;-;References;;;;;;
Ellipsis Resolution with Underspecified Scope;Abstract;Introduction;-;Ellipsis Resolution?;-;-;-;Conclusion;-;References;;;;;;
Resolving Pronominal Reference  to Abstract Entities;Abstract;Introduction;Background and Related Work;Details of PHORA;Evaluation;Evaluation;-;Summary;Acknolwledgements;References;;;;;;
Pronominalization in Generated Discourse and Dialogue;Abstract;Introduction;Background and Related Work;A Simple Pronominalization Algorithm;Implementation and Evaluation;Implementation and Evaluation;-;Conclusions;Acknolwledgements;References;;;;;;
Generating Minimal Definite Descriptions;Abstract;Introduction;Discussion and comparison with related work;An alternative based on set constraints;Discussion and comparison with related work;Discussion and comparison with related work;Discussion and comparison with related work;Conclusion;Acknolwledgements;References;;;;;;
Improving Machine Learning Approaches to Coreference Resolution;Abstract;Introduction;-;The Baseline Coreference System;;The Baseline Coreference System, Modifications to the Machine Learning Framework, NP Coreference Using Many Features;Modifications to the Machine Learning Framework, NP Coreference Using Many Features;Conclusions;Acknolwledgements;References;;;;;;
Parsing Non-Recursive Context-Free Grammars;Abstract;Introduction;-;The CKY algorithm, Earley's algorithm;Empirical results;Empirical results;Discussion;-;Acknolwledgements;References;;;;;;
Active Learning for Statistical Natural Language Parsing;Abstract;Introduction;Previous Work;Experimental Results and Analysis;Experimental Results and Analysis;Experimental Results and Analysis;;Conclusions and Future Work;Acknolwledgements;References;;;;;;
A Generative Constituent-Context Model for Improved Grammar Induction;Abstract;Introduction;Previous Work;A Generative Constituent-Context Model;Experiments;Experiments;-;Conclusions;-;References;;;;;;
A simple pattern-matching algorithm for recovering empty nodes and their antecedents;Abstract;Introduction;-;A pattern-matching algorithm, Empty node recovery evaluation;A pattern-matching algorithm, Empty node recovery evaluation;A pattern-matching algorithm, Empty node recovery evaluation;-;Conclusion;-;References;;;;;;
Pronunciation Modeling for Improved Spelling Correction;Abstract;Introduction;-;Letter-to-Phone Model;Combining Pronunciation and Letter-Based Models;Combining Pronunciation and Letter-Based Models;-;Conclusions and Future Work;-;References;;;;;;
METER: MEasuring TExt Reuse;Abstract;Introduction;-;A conceptual framework;Reuse Classiers;Reuse Classiers;-;Conclusions;Acknolwledgements;References;;;;;;
Semi-Supervised Maximum Entropy Based Approach to Acronym and Abbreviation Normalization in Medical Texts;Abstract;Introduction and Background;;Methods;Testing;Testing;Discussion;-;-;References;;;;;;
GATE: an Architecture for Development of Robust HLT applications;Abstract;Introduction;Related Work;A framework for robust tools and applications;-;Evaluation;-;Conclusions;-;References;;;;;;
Improving Language Model Size Reduction using Better Pruning Criteria;Abstract;Introduction;Related Work;Empirical Comparison, Combining Two Criteria;Empirical Comparison, Combining Two Criteria;Empirical Comparison, Combining Two Criteria;-;Conclusion;Acknolwledgements;References;;;;;;
Exploring Asymmetric Clustering for Statistical Language Modeling;Abstract;Introduction;Related Work;Asymmetric Cluster Model;Experimental Results and Discussion;Experimental Results and Discussion;Experimental Results and Discussion;Conclusion;-;References;;;;;;
A Study on Richer Syntactic Dependencies for Structured Language Modeling;Abstract;Introduction;-;Enriching Syntactic Dependencies;Experiments;Experiments;Experiments;Conclusion and Future Work;-;References;;;;;;
Entropy Rate Constancy in Text;Abstract ;Introduction;Related Work;Problem Formulation;Results;Results;-;Conclusion and Future Work;Acknolwledgements;References;;;;;;
A Multilingual Paradigm for Automatic Verb Classification;Abstract;Introduction;Related Work;The Verb Classes and Features;Verb Classification in Multiple Languages, Verb Classification Using Multilingual Data;Verb Classification in Multiple Languages, Verb Classification Using Multilingual Data;-;Conclusion and Future Directions;Acknolwledgements;References;;;;;;
Verb Paraphrase based on Case Frame Alignment;Abstract;Introduction;Experiments and Discussion (Related work is a subsection);Automatic Case Frame Construction, Case Frame Alignment;Experiments and Discussion ;Experiments and Discussion;Experiments and Discussion;Conclusion;-;References;;;;;;
Inducing German Semantic Verb Classes from Purely Syntactic Subcategorisation Information;Abstract;Introduction;-;Syntactic Descriptors for Verb Frames, German Semantic Verb Classes, Clustering Methodology;;Clustering Evaluation, Linguistic Investigation;-;Conclusion;-;References;;;;;;
Scaling Context Space;Abstract;Introduction;-;Experiments, Context Extractors;Results;Evaluation;-;Conclusion;Acknolwledgements;References;;;;;;
The Necessity of Parsing for Predicate Argument Recognition;Abstract;Introduction;-;The Experiments;-;The Experiments, Is Parsing Necessary?;;Conclusion;Acknolwledgements;References;;;;;;
 The Descent of Hierarchy, and Selection in Relational Semantics;Abstract;Introduction;Related Work;Counting Noun Compounds, Labeling NC Relations;-;Labeling NC Relations;-;Conclusions and Future Work;Acknolwledgements;References;;;;;;
An Unsupervised Method for Word Sense Tagging using Parallel Corpora;Abstract;Introduction;-;Approach;Evaluation;Evaluation;Discussion;Conclusions;Acknolwledgements;References;;;;;;
New Ranking Algorithms for Parsing and Tagging: Kernels over Discrete Structures, and the Voted Perceptron;Abstract;Introduction;Relationship to Previous Work;Feature–Vector Representations of Parse Trees and Tagged Sequences, ;-;Experiments;-;-;Acknolwledgements;References;;;;;;
Parsing the Wall Street Journal using a Lexical-Functional Grammar and Discriminative Estimation Techniques;Abstract;Introduction;-;Discriminative Statistical Estimation from Partially Labeled Data;Experimental Evaluation;Experimental Evaluation;Discussion;-;-;References;;;;;;
Dynamic programming for parsing and estimation of stochastic unification-based grammars;Abstract;Introduction;-;Graphical model calculations?;-;-;-;Conclusion;-;References;;;;;;
Markov Parsing: Lattice Rescoring with a Statistical Parser;Abstract ;Introduction;Background;Markov Parsing;-;Empirical Evaluation;-;Conclusion;Acknolwledgements;References;;;;;;
Discriminative Training and Maximum Entropy Models for Statistical Machine Translation;Abstract;Introduction;Related Work;Alignment Templates, Feature functions, Training;Results;Results;-;Conclusions;-;References;;;;;;
A Decoder for Syntax-based Statistical MT;Abstract;Introduction;-;Phrasel Translation, Decoding, Pruning;Experimental Results: Chinese/English, Decoded Trees ;Experimental Results: Chinese/English, Decoded Trees ;;Conclusion;Acknolwledgements;References;;;;;;
BLEU: a Method for Automatic Evaluation of Machine Translation;Abstract;Introduction;-;The Baseline BLEU Metric;;The Human Evaluation, BLEU vs The Human Evaluation;;Conclusion;Acknolwledgements;References;;;;;;
Coupling CCG and Hybrid Logic Dependency Semantics;Abstract;Introduction;-;CCG Coupled to HLDS, Intonation and Information Structure ;-;-;-;Conclusions and Future Work;Acknolwledgements;References;;;;;;
Building Deep Dependency Structures with a Wide-Coverage CCG Parser;Abstract;Introduction;-;The Parser;Results;Experiments;-;Conclusions and Further Work;Acknolwledgements;References;;;;;;
Generative Models for Statistical Parsing with Combinatory Categorial Grammar;Abstract;Introduction;-;Evaluating a CCG parser;;Generative models of CCG derivations, Extending the baseline model, Performance on specific constructions, Lexical coverage;;Conclusion and future work;Acknolwledgements;References;;;;;;
Word Translation Disambiguation Using Bilingual Bootstrapping;Abstract;Introduction;Related Work;Bilingual Bootstrapping;Experimental Results;Experimental Results;Experimental Results;Conclusion;Acknolwledgements;References;;;;;;
Applying Co-Training to Reference Resolution;Abstract;Introduction;Features for Reference Resolution;Features for Reference Resolution, Co-Training;Experiments and Results;Experiments and Results;-;Conclusions;Acknolwledgements;References;;;;;;
Bootstrapping;Abstract;Overview;-;???;???;???;-;Conclusion;-;References;;;;;;
An Unsupervised Approach to Recognizing Discourse Relations;Abstract;Introduction;Discourse relation definitions and generation of training data;Discourse relation definitions and generation of training data, Determining discourse relations using Naive Bayes classifiers, Relevance to RST;-;Relevance to RST, Determining discourse relations using Naive Bayes classifiers;Discussion;-;Acknolwledgements;References;;;;;;
MATCH: An Architecture for Multimodal Dialogue Systems;Abstract;Multimodal Mobile Information Access;;Multimodal Application Architecture;-;Experimental Evaluation;-;Conclusion;Acknolwledgements;References;;;;;;
What’s the Trouble: Automatically Identifying Problematic Dialogues in DARPA Communicator Dialogue Systems;Abstract;Introduction;-;Corpus, Methods and Data;-;3 Extracting DATE Features, The Task Completion Predictor, Results for Identifying Problematic Dialogues for Data Mining;Discussion and Future Developments;-;Acknolwledgements;References;;;;;;
Evaluating Translational Correspondence using Annotation Projection;Abstract;Introduction;-;Evaluating the DCA using Annotation Projection;-;Evaluating the DCA using Annotation Projection;-;Conclusions and Future Work;Acknolwledgements;References;;;;;;
2022 papers;;;;;;;;;;;;;;;;
long papers;;;;;;;;;;;;;;;;
Structural Characterization for Dialogue Disentanglement;Abstract;Introduction;Background and Related Work;Methodology;Experiment;Analysis;Applications;Conclusion;-;References;;;;;;
Modeling Hierarchical Syntax Structure with Triplet Position for Source Code Summarization;Abstract;Introduction;Related Work;Hierarchical Syntax in Triplet Position, CODESCRIBE Approach;Experiments;Experiments;-;Conclusion;Acknowledgements;References;;;;;;
Making Transformers Solve Compositional Tasks;Abstract;Introduction;Background;Evaluation Datasets;Empirical Results;Empirical Results;Discussion;Conclusions;-;References;;;;;;
HETERMPC: A Heterogeneous Graph Neural Network for Response Generation in Multi-Party Conversations;Abstract;Introduction;Related Work;HeterMPC Model;Experiments;Experiments;-;Conclusion;Acknowledgements;References;;;;;;
Measuring Fairness of Text Classifiers via Prediction Sensitivity;Abstract;Introduction;Related Work;Accumulated Prediction Sensitivity;Results;Evaluation;Discussion;Conclusion;-;References;;;;;;
Sketching a Linguistically-Driven Reasoning Dialog Model for Social Talk;Abstract;Introduction and Background;Introduction and Background;A Worked Example;-;-;Discussion;Conclusion and Future Work;Acknowledgements;References;;;;;;
Improving Robustness of Language Models from a Geometry-aware Perspective;Abstract;Introduction;Related Work;Methodology;Experiments;Experiments;Discussion;Conclusion;Acknowledgements;References;;;;;;
Requirements and Motivations of Low-Resource Speech Synthesis for Language Revitalization;Abstract;Introduction;Background;Research Questions;Results;-;-;Conclusion;Acknowledgements;References;;;;;;
Evaluating Factuality in Text Simplification;Abstract;Introduction;Related Work;Data and Models;Factuality of System Outputs;Automatic Factuality Assessment;;Conclusion;Acknowledgements;References;;;;;;
mLUKE: The Power of Entity Representations in Multilingual Pretrained Language Models;Abstract;Introduction;Related Work;"Multilingual Language Models with Entity Representations, Adding Entities as Language-Agnostic
Features in QA, The Entity MASK Token as Feature
Extractor in RE and NER";;included in the methods sections;;Conclusion;-;References;;;;;;
Is GPT-3 Text Indistinguishable from Human Text? SCARECROW: A Framework for Scrutinizing Machine Text;Abstract;Introduction;Related Work;Key Findings;Key Findings,  SCARECROW Annotation Methodology, Error Prediction;Evaluation of Natural Language Generation;;Conclusion;Acknowledgements;References;;;;;;
short papers;;;;;;;;;;;;;;;;
BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models;Abstract;Introduction;Background: fine-tuning and parameter-efficient fine-tuning, Related Work;Bias-terms Fine-tuning (BitFit);Experiments and Results;-;-;Conclusion;Acknowledgements;References;;;;;;
HYPHEN: Hyperbolic Hawkes Attention For Text Streams;Abstract;Introduction;-;Methodology,  Applications and Task;Results;-;-;Conclusion;Acknowledgements;References;Bouns: Ethical Considerations;;;;;
NoisyTune: A Little Noise Can Help You Finetune Pretrained Language Models Better;Abstract;Introduction;-;NoisyTune,  Experiments;Experiments;Experiments;-;Conclusion;Acknowledgements;References;;;;;;
Improving Cross-domain, Cross-lingual and Multi-modal Deception Detection;Abstract;Introduction;Current limitations;Proposed work and preliminary exploration;-;-;-;Conclusion;-;References;Bouns: Ethical Considerations;;;;;
Deep Neural Representations for Multiword Expressions Detection;Abstract;Introduction;Related Work;"Datasets, Deep Neural Representations for MWE
Detection,  Experimental Setup";Results;Results;Discussion;Conclusions and Future Work;Acknowledgements;References;;;;;;
A Dataset and BERT-based Models for Targeted Sentiment Analysis on Turkish Texts;Abstract;Introduction;Related Work;Dataset, Methodology;Results;-;Discussion;-;Acknowledgements;References;Ethical Considerations and Limitations;;;;;
findings of ACL;;;;;;;;;;;;;;;;
Dual Context-Guided Continuous Prompt Tuning for Few-Shot Learning;Abstract;Introduction;-;Methodology;Experiments;Experiments;-;Conclusion;-;References;;;;;;
RuCCoN: Clinical Concept Normalization in Russian;Abstract;Introduction;-;RuCCoN Dataset;-;Evaluation,  Error Analysis;-;Conclusion;Acknowledgements;References;;;;;;
Open Relation Modeling: Learning to Define Relations between Entities;Abstract;Introduction;Open Relation Modeling, Related Work;Experiments;Experiments;-;Discussion;Conclusion;Acknowledgements;References;;;;;;
Fast Nearest Neighbor Machine Translation;Abstract;Introduction;Related Work,  Background: kNN-MT;Method: Fast kNN-MT;Experiments;Experiments;-;Conclusion;Acknowledgement;References;;;;;;
Measuring the Language of Self-Disclosure across Corpora;Abstract;Introduction;Background and Related Work;Data Sets, Features, Models;Results;Results;-;Conclusion;-;References;Limitations & Ethical Considerations;;;;;
How Pre-trained Language Models Capture Factual Knowledge? A Causal-Inspired Analysis;Abstract;Introduction;Related Works;Method;Experiments and Discussion;Experiments and Discussion;Experiments and Discussion;Conclusion;-;References;;;;;;
Does BERT really agree ? Fine-grained Analysis of Lexical Dependence on a Syntactic Task;Abstract;Introduction;Related work;General Setup, Experiments and Results;Experiments and Results;-;Discussion;Conclusion;Acknowledgement;References;;;;;;
bionlp;;;;;;;;;;;;;;;;
